STARTDATA,ENDDATA,MAX_PRICE,MIN_PRICE,MAXMINRATIO
2010-09-27,2010-11-09,17.024103569324907,12.895840573935812,1.3201236066559985
2010-10-04,2010-11-16,17.496665466588226,13.566809395282052,1.2896669332343393
2010-10-11,2010-11-23,17.668322307718093,14.254760222009384,1.2394682220215925
2010-10-18,2010-11-30,17.668322307718093,14.952337347172532,1.1816428359984232
2010-10-25,2010-12-07,17.668322307718093,13.0,1.3591017159783148
2010-11-01,2010-12-14,17.668322307718093,12.0,1.472360192309841
2010-11-08,2010-12-21,17.668322307718093,11.0,1.606211118883463
2010-11-15,2010-12-28,17.668322307718093,11.0,1.606211118883463
2010-11-22,2011-01-04,17.668322307718093,9.0,1.963146923079788
2010-11-29,2011-01-11,17.18431156067007,7.0,2.454901651524296
2010-12-06,2011-01-18,14.0,5.666666641666665,2.4705882461937723
2010-12-13,2011-01-25,13.0,5.666666641666665,2.2941176571799318
2010-12-20,2011-02-01,12.0,5.0,2.4
2010-12-27,2011-02-08,11.0,5.0,2.2
2011-01-03,2011-02-15,10.0,5.0,2.0
2011-01-10,2011-02-22,8.0,5.0,1.6
2011-01-17,2011-03-01,7.0,5.0,1.4
2011-01-24,2011-03-08,7.0,5.0,1.4
2011-01-31,2011-03-15,7.0,5.0,1.4
2011-02-07,2011-03-22,7.0,5.0,1.4
2011-02-14,2011-03-29,7.0,5.0,1.4
2011-02-21,2011-04-05,7.0,5.0,1.4
2011-02-28,2011-04-12,7.0,6.0,1.1666666666666667
2011-03-07,2011-04-19,7.0,5.9130434555765525,1.1838235339532885
2011-03-14,2011-04-26,7.0,5.818181798347106,1.2031250041015629
2011-03-21,2011-05-03,8.0,5.818181798347106,1.3750000046875004
2011-03-28,2011-05-10,8.00406583440844,5.818181798347106,1.3756988199788334
2011-04-04,2011-05-17,8.041070468601037,5.818181798347106,1.3820589915023682
2011-04-11,2011-05-24,8.114420427470469,5.818181798347106,1.3946660157260304
2011-04-18,2011-05-31,8.22142346474437,5.818181798347106,1.4130571628201793
2011-04-25,2011-06-07,8.359387334150389,7.0,1.1941981905929127
2011-05-02,2011-06-14,8.525619789416162,7.0,1.2179456842023089
2011-05-09,2011-06-21,8.717428584269337,8.001903405664885,1.089419372158117
2011-05-16,2011-06-28,8.932121472437553,8.03349607541203,1.111859816521966
2011-05-23,2011-07-05,9.167006207648454,8.101818676446344,1.1314751136431662
2011-05-30,2011-07-12,9.419390543629678,8.204178962495465,1.1481210474185686
2011-06-06,2011-07-19,9.686582234108869,8.33788468728704,1.1617553609104498
2011-06-13,2011-07-26,9.965889032813674,8.500243604548707,1.1724239323542047
2011-06-20,2011-08-02,10.25461869347173,8.688563468008113,1.1802432854671479
2011-06-27,2011-08-09,10.55007896981068,8.900152031392896,1.1853818825339288
2011-07-04,2011-08-16,10.849577615558168,9.132317048430696,1.1880421538170935
2011-07-11,2011-08-23,11.150422384441832,9.382366272849165,1.188444584252599
2011-07-18,2011-08-30,11.449921030189321,9.647607458375935,1.1868145630498927
2011-07-25,2011-09-06,11.74538130652827,9.925348358738653,1.183372198335708
2011-08-01,2011-09-13,12.034110967186324,10.212896727664956,1.1783249442430976
2011-08-08,2011-09-20,12.31341776589113,10.507560318882497,1.1718626771776353
2011-08-15,2011-09-27,12.580609456370322,10.806646886118909,1.1641547640952403
2011-08-22,2011-10-04,12.832993792351544,11.107464183101834,1.1553486539146187
2011-08-29,2011-10-11,13.067878527562447,11.407319963558926,1.1455695614139194
2011-09-05,2011-10-18,13.28257141573066,11.703521981217806,1.1349208757027982
2011-09-12,2011-10-25,13.474380210583837,11.993377989806135,1.1234849949727668
2011-09-19,2011-11-01,13.640612665849615,12.274195743051548,1.111324354882608
2011-09-26,2011-11-08,13.77857653525563,12.543282994681688,1.0984824739342725
2011-10-03,2011-11-15,13.885579572529533,12.797947498424197,1.0849848832587612
2011-10-10,2011-11-22,13.958929531398962,13.035497008006713,1.0708398400785988
2011-10-17,2011-11-29,13.995934165591562,13.253239277156885,1.056038744408303
2011-10-24,2011-12-06,14.0,13.448482059602352,1.0410096796020083
2011-10-31,2011-12-13,14.0,11.0,1.2727272727272727
2011-11-07,2011-12-20,14.0,10.0,1.4
2011-11-14,2011-12-27,14.0,8.0,1.75
2011-11-21,2012-01-03,14.0,6.0,2.3333333333333335
2011-11-28,2012-01-10,14.0,6.0,2.3333333333333335
2011-12-05,2012-01-17,14.0,6.0,2.3333333333333335
2011-12-12,2012-01-24,11.0,6.0,1.8333333333333333
2011-12-19,2012-01-31,10.0,6.0,1.6666666666666667
2011-12-26,2012-02-07,9.0,6.0,1.5
2012-01-02,2012-02-14,8.0,6.0,1.3333333333333333
2012-01-09,2012-02-21,8.0,6.0,1.3333333333333333
2012-01-16,2012-02-28,8.0,6.0,1.3333333333333333
2012-01-23,2012-03-06,8.0,6.0,1.3333333333333333
2012-01-30,2012-03-13,8.0,6.0,1.3333333333333333
2012-02-06,2012-03-20,9.0,6.0,1.5
2012-02-13,2012-03-27,10.0,6.0,1.6666666666666667
2012-02-20,2012-04-03,12.0,7.0,1.7142857142857142
2012-02-27,2012-04-10,13.0,7.0,1.8571428571428572
2012-03-05,2012-04-17,13.0,7.0,1.8571428571428572
2012-03-12,2012-04-24,13.0,8.0,1.625
