STARTDATE,ENDDATE,MEAN,STD,VALUE,lastYear
2019-06-30,2019-08-12,572.6338423220724,230.80856930734106,674.6261167941367,Normal
2019-07-07,2019-08-19,579.688201750068,217.3976513680227,661.8776454152104,Normal
2019-07-14,2019-08-26,569.7528813053564,204.58273291501803,617.25,Normal
2019-07-21,2019-09-02,552.829585850811,176.86069697012087,548.6136363636364,Normal
2019-07-28,2019-09-09,528.0625,160.31101880403318,501.02272727272725,Normal
2019-08-04,2019-09-16,502.1761363636364,140.80716754484683,482.79545454545456,Normal
2019-08-11,2019-09-23,462.17045454545456,127.96943964897164,456.45454545454544,Normal
2019-08-18,2019-09-30,413.15909090909093,117.81980844255291,412.90909090909093,Normal
2019-08-25,2019-10-07,373.7613636363636,111.06883205920975,386.6818181818182,Normal
2019-09-01,2019-10-14,345.3068181818182,115.38593577057523,358.0681818181818,Normal
2019-09-08,2019-10-21,330.8636363636364,125.48442490061963,340.02272727272725,Normal
2019-09-15,2019-10-28,323.569292854259,134.0125145318223,321.29545454545456,Normal
2019-09-22,2019-11-04,312.83065649062263,137.381582959596,296.3863636363636,Normal
2019-09-29,2019-11-11,304.25111103602603,138.80042752838486,289.6363636363636,Normal
2019-10-06,2019-11-18,292.2454292178442,132.34534545137996,280.95454545454544,Normal
2019-10-13,2019-11-25,269.5992464739871,116.42359526449481,269.21590909090907,Normal
2019-10-20,2019-12-02,246.5765192012598,99.68538953091173,253.73863636363637,Normal
2019-10-27,2019-12-09,216.81180623666975,80.8005289318295,214.7840909090909,Normal
2019-11-03,2019-12-16,192.12654452881898,68.2593822546657,184.8068181818182,Normal
2019-11-10,2019-12-23,170.66063543796102,64.58934745038599,151.8068181818182,Normal
2019-11-17,2019-12-30,155.4608975803396,69.97957570736419,120.7159090909091,Normal
2019-11-24,2020-01-06,145.45253486965132,80.74986494806515,92.875,Normal
2019-12-01,2020-01-13,134.00196668783312,86.8414351397143,75.27272727272727,Normal
2019-12-08,2020-01-20,126.74738587177922,95.64202297710113,61.65909090909091,Normal
2019-12-15,2020-01-27,117.98900195338805,98.50906815980211,49.43181818181818,Normal
2019-12-22,2020-02-03,112.78687628437997,96.18564070819333,43.44318181818182,Normal
2019-12-29,2020-02-10,107.23463332482147,89.75884505876117,40.53409090909091,Normal
2020-01-05,2020-02-17,97.82107572765199,79.13042250626148,37.902272726727276,Normal
2020-01-12,2020-02-24,92.29309251084707,72.91102967791969,32.334090908545456,Normal
2020-01-19,2020-03-02,89.98657277072546,69.67133417652964,29.940151514037883,Normal
2020-01-26,2020-03-09,86.80576586028693,66.92802461518971,27.099242423128793,Normal
2020-02-02,2020-03-16,86.46816556968305,71.06570045857421,22.56515151403788,Normal
2020-02-09,2020-03-23,82.73489021157228,73.28253989802896,20.44015151403788,Normal
2020-02-16,2020-03-30,85.91276899944651,77.80300003399805,25.2537878782197,Normal
2020-02-23,2020-04-06,90.40446627173066,82.39339259261078,31.71969696912879,Normal
