DATE,VOLATILITY,VOLATILITY_SAMEMONTH,VOLATILITY_LASTMONTH,VOLATILITY_LASTYEAR,VOLATILITY_SUM,PRICE_SAMEMONTH,PRICE_LASTMONTH,PRICE_LASTYEAR,PRICE_SUM,SUM,STATENAME,MANDINAME
2017-04-01,0.0053126655614604,1.0,2.0,0.0,3.0,19,20,1,40,43.0,UTTAR PRADESH,PRATAPGARH
2017-04-01,0.0334461594002139,6.0,4.0,2.0,12.0,0,0,1,1,13.0,WEST BENGAL,KASIPUR
2017-04-01,0.0168185022775383,3.0,2.0,0.0,5.0,0,2,0,2,7.0,WEST BENGAL,KATWA
2017-05-01,0.1190863654709171,2.0,2.0,1.0,5.0,20,20,8,48,53.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-05-01,0.0,1.0,3.0,0.0,4.0,17,20,2,39,43.0,WEST BENGAL,DURGAPUR
2017-05-01,0.0030526130026579,1.0,2.0,0.0,3.0,16,20,1,37,40.0,UTTAR PRADESH,PRATAPGARH
2017-05-01,0.0260360427176323,6.0,5.0,3.0,14.0,2,4,1,7,21.0,WEST BENGAL,KASIPUR
2017-05-01,0.018314125545917,2.0,1.0,1.0,4.0,0,6,0,6,10.0,WEST BENGAL,KATWA
2017-06-01,0.007420987860631,2.0,2.0,1.0,5.0,20,20,8,48,53.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-06-01,0.0066476814080471,1.0,3.0,0.0,4.0,17,20,2,39,43.0,WEST BENGAL,DURGAPUR
2017-06-01,0.0008647272322786,1.0,2.0,0.0,3.0,16,20,1,37,40.0,UTTAR PRADESH,PRATAPGARH
2017-06-01,0.0036259587152575,5.0,5.0,3.0,13.0,2,4,1,7,20.0,WEST BENGAL,KASIPUR
2017-06-01,0.0070052681558556,2.0,1.0,1.0,4.0,2,8,0,10,14.0,WEST BENGAL,KATWA
2017-07-01,0.0059482858200328,3.0,2.0,1.0,6.0,18,19,9,46,52.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-07-01,0.0,1.0,2.0,0.0,3.0,16,19,3,38,41.0,WEST BENGAL,DURGAPUR
2017-07-01,0.0023655124855411,1.0,2.0,0.0,3.0,13,19,1,33,36.0,UTTAR PRADESH,PRATAPGARH
2017-07-01,0.0040797968259128,2.0,1.0,1.0,4.0,5,12,4,21,25.0,WEST BENGAL,KATWA
2017-07-01,0.0041493597409299,4.0,4.0,3.0,11.0,3,4,1,8,19.0,WEST BENGAL,KASIPUR
2017-08-01,0.1315813427114395,4.0,3.0,2.0,9.0,14,18,10,42,51.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
